Titel;Duration;Band;Album;Genre;Year;Comment
Consuming;03:42;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
Drifting Away;03:39;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal +
An Eye For An Eye;03:12;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
The Hag Of Freeborough;03:10;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal +
Life;02:35;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal +
Like Lot;05:37;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
Made In Germany;01:43;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
Minds In Fear;04:33;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
Moon;02:39;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
No Excuse;03:07;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
Not My Country;03:07;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal +
Shout;02:27;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
Sing With The Sirens;03:19;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal +
Born To Kill;03:40;Airbourne;Unleash the Fury;Heavy Metal;2015;Mr. Metal
The Avengers;02:04;Alan Silvestri;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Fast Forward;02:57;Alan Silvestri;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Gefressen Werden;02:11;Alarmsignal;Aggropunk Vol. 3;Punk Rock;2013;Mr. Metal
Krieg;01:27;Alarmsignal;Revolutionaere Sterben Nie!;Punk Rock;2007;Mr. Metal +
Leben Is' Mehr;01:50;Alarmsignal;Revolutionaere Sterben Nie!;Punk Rock;2007;Mr. Metal +
Wert Des Lebens;02:03;Alarmsignal;Revolutionaere Sterben Nie!;Punk Rock;2007;Mr. Metal +
Wir Leben;02:24;Alarmsignal;Revolutionaere Sterben Nie!;Punk Rock;2007;Mr. Metal +
Oh, How The Mighty Have Fallen;05:32;Alesana;Post-Hardcore Crash Course;Post-Hardcore;2015;Mr. Metal
Back Through Time;05:03;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal +
Barrett's Privateers;04:40;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal
Buckfast Powersmash;02:33;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal
Death Throes Of The Terrorsquid;07:47;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal
I Am A Cider Drinker;02:59;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal +
Midget Saw;03:19;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal +
Rum;03:29;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal
Rumpelkombo;00:07;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal
Scraping The Barrel;04:40;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal +
Shipwrecked;03:31;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal +
The Sunk'n Norwegian;04:07;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal +
Swashbuckled;03:53;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal
